,Data,Vendedor,Produto,Forma Pagamento,Preço Unitário,Qtd,Unnamed: 7,Unnamed: 8
1549,6/15/2016,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
1550,6/15/2016,Renato Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
1551,6/15/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,3,,
1552,6/15/2016,Camila Souza,Produto A,Dinheiro,R$ 445.50,1,,
1553,6/15/2016,Renato Souza,Produto D,Dinheiro,R$ 759.00,3,,
1554,6/16/2016,Diana Martins,Produto H,Cartão de Crédito,R$ 396.00,1,,
1555,6/16/2016,Camila Souza,Produto F,Boleto Bancário,R$ 478.50,1,,
1556,6/17/2016,Anderson Gomes,Produto F,Dinheiro,R$ 478.50,1,,
1557,6/17/2016,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
1558,6/17/2016,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1559,6/17/2016,Camila Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1560,6/17/2016,Anderson Gomes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1561,6/18/2016,Diana Martins,Produto F,Cartão de Crédito,R$ 478.50,2,,
1562,6/19/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1563,6/19/2016,Diana Martins,Produto A,Dinheiro,R$ 445.50,1,,
1564,6/19/2016,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
1565,6/20/2016,Diana Martins,Produto E,Dinheiro,R$ 709.50,1,,
1566,6/20/2016,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,1,,
1567,6/21/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1568,6/21/2016,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1569,6/21/2016,Renato Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
1570,6/22/2016,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1571,6/22/2016,Diana Martins,Produto A,Cartão de Crédito,R$ 445.50,1,,
1572,6/23/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1573,6/23/2016,Anderson Gomes,Produto E,Cartão de Crédito,R$ 709.50,1,,
1574,6/24/2016,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
1575,6/24/2016,Anderson Gomes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1576,6/25/2016,Diana Martins,Produto B,Dinheiro,R$ 577.50,1,,
1577,6/25/2016,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,1,,
1578,6/26/2016,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
1579,6/26/2016,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1580,6/27/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1581,6/27/2016,Felipe Melo,Produto G,Dinheiro,R$ 165.00,1,,
1582,6/27/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1583,6/28/2016,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,3,,
1584,6/29/2016,Diana Martins,Produto B,Cartão de Crédito,R$ 577.50,1,,
1585,7/1/2016,Diana Martins,Produto J,Cartão de Crédito,R$ 66.00,1,,
1586,7/1/2016,Felipe Melo,Produto G,Dinheiro,R$ 165.00,2,,
1587,7/1/2016,Clara Nunes,Produto H,Boleto Bancário,R$ 396.00,1,,
1588,7/1/2016,Clara Nunes,Produto A,Dinheiro,R$ 445.50,3,,
1589,7/3/2016,Camila Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
1590,7/3/2016,Diana Martins,Produto D,Dinheiro,R$ 759.00,1,,
1591,7/3/2016,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1592,7/3/2016,Diana Martins,Produto H,Boleto Bancário,R$ 396.00,1,,
1593,7/3/2016,Clara Nunes,Produto G,Dinheiro,R$ 165.00,1,,
1594,7/3/2016,Camila Souza,Produto J,Boleto Bancário,R$ 66.00,3,,
1595,7/4/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,2,,
1596,7/4/2016,Renato Souza,Produto J,Boleto Bancário,R$ 66.00,1,,
1597,7/4/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1598,7/4/2016,Anderson Gomes,Produto A,Cartão de Crédito,R$ 445.50,1,,
1599,7/4/2016,Anderson Gomes,Produto A,Cartão de Crédito,R$ 445.50,1,,
1600,7/5/2016,Anderson Gomes,Produto J,Boleto Bancário,R$ 66.00,1,,
1601,7/5/2016,Diana Martins,Produto H,Cartão de Crédito,R$ 396.00,1,,
1602,7/5/2016,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,2,,
1603,7/6/2016,Renato Souza,Produto J,Dinheiro,R$ 66.00,1,,
1604,7/6/2016,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1605,7/6/2016,Felipe Melo,Produto E,Cartão de Crédito,R$ 709.50,1,,
1606,7/7/2016,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,3,,
1607,7/7/2016,Felipe Melo,Produto A,Boleto Bancário,R$ 445.50,1,,
1608,7/9/2016,Anderson Gomes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1609,7/9/2016,Felipe Melo,Produto B,Dinheiro,R$ 577.50,1,,
1610,7/9/2016,Felipe Melo,Produto E,Dinheiro,R$ 709.50,1,,
1611,7/10/2016,Felipe Melo,Produto A,Boleto Bancário,R$ 445.50,1,,
1612,7/10/2016,Anderson Gomes,Produto E,Cartão de Crédito,R$ 709.50,1,,
1613,7/10/2016,Clara Nunes,Produto J,Boleto Bancário,R$ 66.00,1,,
1614,7/11/2016,Camila Souza,Produto C,Cartão de Crédito,R$ 148.50,1,,
1615,7/12/2016,Anderson Gomes,Produto F,Dinheiro,R$ 478.50,2,,
1616,7/12/2016,Camila Souza,Produto A,Dinheiro,R$ 445.50,2,,
1617,7/13/2016,Felipe Melo,Produto F,Cartão de Crédito,R$ 478.50,1,,
1618,7/13/2016,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1619,7/13/2016,Anderson Gomes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1620,7/13/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1621,7/14/2016,Camila Souza,Produto A,Dinheiro,R$ 445.50,1,,
1622,7/14/2016,Renato Souza,Produto G,Dinheiro,R$ 165.00,1,,
1623,7/15/2016,Clara Nunes,Produto G,Boleto Bancário,R$ 165.00,1,,
1624,7/15/2016,Felipe Melo,Produto D,Dinheiro,R$ 759.00,1,,
1625,7/16/2016,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1626,7/16/2016,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,2,,
1627,7/16/2016,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1628,7/16/2016,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1629,7/16/2016,Camila Souza,Produto H,Dinheiro,R$ 396.00,2,,
1630,7/16/2016,Anderson Gomes,Produto G,Boleto Bancário,R$ 165.00,1,,
1631,7/16/2016,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
1632,7/17/2016,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
1633,7/17/2016,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,2,,
1634,7/17/2016,Diana Martins,Produto E,Dinheiro,R$ 709.50,1,,
1635,7/19/2016,Felipe Melo,Produto J,Boleto Bancário,R$ 66.00,1,,
1636,7/19/2016,Diana Martins,Produto G,Boleto Bancário,R$ 165.00,1,,
1637,7/19/2016,Renato Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
1638,7/20/2016,Anderson Gomes,Produto A,Cartão de Crédito,R$ 445.50,2,,
1639,7/21/2016,Anderson Gomes,Produto E,Cartão de Crédito,R$ 709.50,1,,
1640,7/21/2016,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
1641,7/22/2016,Anderson Gomes,Produto H,Boleto Bancário,R$ 396.00,1,,
1642,7/23/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1643,7/23/2016,Diana Martins,Produto A,Dinheiro,R$ 445.50,1,,
1644,7/23/2016,Camila Souza,Produto B,Boleto Bancário,R$ 577.50,3,,
1645,7/23/2016,Renato Souza,Produto C,Dinheiro,R$ 148.50,1,,
1646,7/23/2016,Felipe Melo,Produto G,Dinheiro,R$ 165.00,1,,
1647,7/23/2016,Clara Nunes,Produto E,Boleto Bancário,R$ 709.50,1,,
1648,7/24/2016,Felipe Melo,Produto A,Cartão de Crédito,R$ 445.50,1,,
1649,7/25/2016,Felipe Melo,Produto E,Cartão de Crédito,R$ 709.50,1,,
1650,7/26/2016,Felipe Melo,Produto A,Cartão de Crédito,R$ 445.50,1,,
1651,7/26/2016,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1652,7/27/2016,Clara Nunes,Produto E,Dinheiro,R$ 709.50,1,,
1653,7/27/2016,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1654,7/28/2016,Camila Souza,Produto C,Dinheiro,R$ 148.50,2,,
1655,7/28/2016,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1656,7/28/2016,Anderson Gomes,Produto F,Cartão de Crédito,R$ 478.50,1,,
1657,7/28/2016,Clara Nunes,Produto D,Boleto Bancário,R$ 759.00,2,,
1658,7/29/2016,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
1659,7/31/2016,Clara Nunes,Produto E,Dinheiro,R$ 709.50,1,,
1660,7/31/2016,Camila Souza,Produto J,Dinheiro,R$ 66.00,1,,
1661,7/31/2016,Anderson Gomes,Produto I,Boleto Bancário,R$ 759.00,1,,
1662,7/31/2016,Felipe Melo,Produto H,Cartão de Crédito,R$ 396.00,1,,
1663,7/31/2016,Anderson Gomes,Produto A,Dinheiro,R$ 445.50,1,,
1664,8/1/2016,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,1,,
1665,8/1/2016,Clara Nunes,Produto A,Dinheiro,R$ 445.50,1,,
1666,8/1/2016,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,2,,
1667,8/2/2016,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1668,8/2/2016,Felipe Melo,Produto G,Cartão de Crédito,R$ 165.00,1,,
1669,8/2/2016,Camila Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
1670,8/2/2016,Renato Souza,Produto E,Dinheiro,R$ 709.50,1,,
1671,8/2/2016,Felipe Melo,Produto A,Dinheiro,R$ 445.50,1,,
1672,8/3/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1673,8/3/2016,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
1674,8/3/2016,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,2,,
1675,8/3/2016,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,1,,
1676,8/3/2016,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1677,8/4/2016,Diana Martins,Produto C,Dinheiro,R$ 148.50,1,,
1678,8/4/2016,Renato Souza,Produto D,Cartão de Crédito,R$ 759.00,3,,
1679,8/4/2016,Felipe Melo,Produto G,Dinheiro,R$ 165.00,2,,
1680,8/5/2016,Diana Martins,Produto F,Dinheiro,R$ 478.50,2,,
1681,8/5/2016,Diana Martins,Produto C,Cartão de Crédito,R$ 148.50,1,,
1682,8/6/2016,Renato Souza,Produto I,Boleto Bancário,R$ 759.00,1,,
1683,8/7/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1684,8/7/2016,Renato Souza,Produto E,Boleto Bancário,R$ 709.50,1,,
1685,8/8/2016,Anderson Gomes,Produto C,Boleto Bancário,R$ 148.50,1,,
1686,8/8/2016,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
1687,8/8/2016,Clara Nunes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1688,8/9/2016,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
1689,8/9/2016,Renato Souza,Produto B,Dinheiro,R$ 577.50,3,,
1690,8/10/2016,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
1691,8/10/2016,Camila Souza,Produto A,Cartão de Crédito,R$ 445.50,3,,
1692,8/10/2016,Anderson Gomes,Produto H,Boleto Bancário,R$ 396.00,3,,
1693,8/11/2016,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,1,,
1694,8/11/2016,Felipe Melo,Produto G,Boleto Bancário,R$ 165.00,3,,
1695,8/12/2016,Anderson Gomes,Produto C,Dinheiro,R$ 148.50,1,,
1696,8/12/2016,Renato Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
1697,8/13/2016,Diana Martins,Produto E,Cartão de Crédito,R$ 709.50,1,,
1698,8/15/2016,Diana Martins,Produto F,Boleto Bancário,R$ 478.50,3,,
1699,8/15/2016,Diana Martins,Produto F,Cartão de Crédito,R$ 478.50,1,,
1700,8/15/2016,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,1,,
1701,8/15/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1702,8/16/2016,Felipe Melo,Produto B,Cartão de Crédito,R$ 577.50,2,,
1703,8/16/2016,Anderson Gomes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1704,8/16/2016,Anderson Gomes,Produto E,Boleto Bancário,R$ 709.50,1,,
1705,8/17/2016,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1706,8/18/2016,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,1,,
1707,8/19/2016,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1708,8/19/2016,Clara Nunes,Produto F,Dinheiro,R$ 478.50,1,,
1709,8/19/2016,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
1710,8/19/2016,Clara Nunes,Produto B,Dinheiro,R$ 577.50,3,,
1711,8/19/2016,Camila Souza,Produto A,Dinheiro,R$ 445.50,3,,
1712,8/20/2016,Felipe Melo,Produto C,Boleto Bancário,R$ 148.50,1,,
1713,8/20/2016,Renato Souza,Produto G,Dinheiro,R$ 165.00,3,,
1714,8/20/2016,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,1,,
1715,8/20/2016,Camila Souza,Produto C,Cartão de Crédito,R$ 148.50,1,,
1716,8/20/2016,Diana Martins,Produto G,Boleto Bancário,R$ 165.00,1,,
1717,8/21/2016,Anderson Gomes,Produto F,Dinheiro,R$ 478.50,1,,
1718,8/21/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1719,8/22/2016,Diana Martins,Produto H,Cartão de Crédito,R$ 396.00,1,,
1720,8/23/2016,Renato Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
1721,8/24/2016,Renato Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
1722,8/24/2016,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,1,,
1723,8/24/2016,Felipe Melo,Produto A,Boleto Bancário,R$ 445.50,1,,
1724,8/24/2016,Diana Martins,Produto G,Dinheiro,R$ 165.00,1,,
1725,8/24/2016,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
1726,8/25/2016,Camila Souza,Produto C,Dinheiro,R$ 148.50,1,,
1727,8/26/2016,Camila Souza,Produto C,Dinheiro,R$ 148.50,1,,
1728,8/26/2016,Camila Souza,Produto A,Boleto Bancário,R$ 445.50,2,,
1729,8/26/2016,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1730,8/26/2016,Anderson Gomes,Produto I,Cartão de Crédito,R$ 759.00,1,,
1731,8/27/2016,Diana Martins,Produto H,Cartão de Crédito,R$ 396.00,3,,
1732,8/27/2016,Anderson Gomes,Produto I,Cartão de Crédito,R$ 759.00,1,,
1733,8/27/2016,Diana Martins,Produto A,Cartão de Crédito,R$ 445.50,2,,
1734,8/27/2016,Renato Souza,Produto F,Dinheiro,R$ 478.50,3,,
1735,8/28/2016,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
1736,8/28/2016,Felipe Melo,Produto H,Cartão de Crédito,R$ 396.00,1,,
1737,8/28/2016,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,3,,
1738,8/29/2016,Diana Martins,Produto I,Dinheiro,R$ 759.00,1,,
1739,8/30/2016,Renato Souza,Produto C,Boleto Bancário,R$ 148.50,3,,
1740,8/30/2016,Camila Souza,Produto C,Cartão de Crédito,R$ 148.50,2,,
1741,8/31/2016,Camila Souza,Produto J,Boleto Bancário,R$ 66.00,1,,
1742,9/1/2016,Camila Souza,Produto E,Cartão de Crédito,R$ 709.50,2,,
1743,9/2/2016,Camila Souza,Produto G,Dinheiro,R$ 165.00,2,,
1744,9/2/2016,Felipe Melo,Produto B,Cartão de Crédito,R$ 577.50,1,,
1745,9/3/2016,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1746,9/3/2016,Renato Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
1747,9/3/2016,Felipe Melo,Produto D,Dinheiro,R$ 759.00,3,,
1748,9/3/2016,Diana Martins,Produto H,Cartão de Crédito,R$ 396.00,1,,
1749,9/4/2016,Felipe Melo,Produto A,Cartão de Crédito,R$ 445.50,1,,
1750,9/5/2016,Diana Martins,Produto A,Boleto Bancário,R$ 445.50,3,,
1751,9/5/2016,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1752,9/6/2016,Renato Souza,Produto A,Boleto Bancário,R$ 445.50,1,,
1753,9/6/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1754,9/6/2016,Camila Souza,Produto E,Cartão de Crédito,R$ 709.50,2,,
1755,9/6/2016,Clara Nunes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1756,9/6/2016,Renato Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
1757,9/7/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1758,9/7/2016,Renato Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
1759,9/7/2016,Felipe Melo,Produto F,Dinheiro,R$ 478.50,1,,
1760,9/7/2016,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1761,9/8/2016,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,3,,
1762,9/8/2016,Felipe Melo,Produto E,Cartão de Crédito,R$ 709.50,2,,
1763,9/8/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1764,9/8/2016,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,1,,
1765,9/8/2016,Camila Souza,Produto E,Dinheiro,R$ 709.50,2,,
1766,9/8/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1767,9/8/2016,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,3,,
1768,9/9/2016,Felipe Melo,Produto B,Cartão de Crédito,R$ 577.50,3,,
1769,9/10/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1770,9/10/2016,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,1,,
1771,9/10/2016,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,1,,
1772,9/11/2016,Felipe Melo,Produto F,Cartão de Crédito,R$ 478.50,1,,
1773,9/11/2016,Clara Nunes,Produto I,Boleto Bancário,R$ 759.00,3,,
1774,9/11/2016,Camila Souza,Produto H,Dinheiro,R$ 396.00,1,,
1775,9/12/2016,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1776,9/12/2016,Diana Martins,Produto H,Dinheiro,R$ 396.00,1,,
1777,9/12/2016,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,2,,
1778,9/13/2016,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1779,9/13/2016,Renato Souza,Produto I,Dinheiro,R$ 759.00,1,,
1780,9/14/2016,Felipe Melo,Produto G,Boleto Bancário,R$ 165.00,1,,
1781,9/14/2016,Clara Nunes,Produto I,Boleto Bancário,R$ 759.00,1,,
1782,9/14/2016,Anderson Gomes,Produto J,Dinheiro,R$ 66.00,1,,
1783,9/15/2016,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1784,9/15/2016,Diana Martins,Produto B,Dinheiro,R$ 577.50,1,,
1785,9/15/2016,Clara Nunes,Produto J,Boleto Bancário,R$ 66.00,1,,
1786,9/15/2016,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
1787,9/15/2016,Renato Souza,Produto A,Boleto Bancário,R$ 445.50,1,,
1788,9/16/2016,Renato Souza,Produto B,Dinheiro,R$ 577.50,1,,
1789,9/16/2016,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
1790,9/16/2016,Diana Martins,Produto E,Boleto Bancário,R$ 709.50,1,,
1791,9/16/2016,Camila Souza,Produto F,Boleto Bancário,R$ 478.50,2,,
1792,9/17/2016,Renato Souza,Produto B,Dinheiro,R$ 577.50,1,,
1793,9/17/2016,Renato Souza,Produto I,Cartão de Crédito,R$ 759.00,2,,
1794,9/17/2016,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,3,,
1795,9/17/2016,Renato Souza,Produto C,Cartão de Crédito,R$ 148.50,1,,
1796,9/17/2016,Clara Nunes,Produto I,Boleto Bancário,R$ 759.00,1,,
1797,9/18/2016,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
1798,9/18/2016,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,1,,
1799,9/20/2016,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1800,9/21/2016,Anderson Gomes,Produto G,Cartão de Crédito,R$ 165.00,3,,
1801,9/22/2016,Diana Martins,Produto I,Dinheiro,R$ 759.00,1,,
1802,9/23/2016,Diana Martins,Produto C,Cartão de Crédito,R$ 148.50,1,,
1803,9/24/2016,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,2,,
1804,9/24/2016,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,1,,
1805,9/24/2016,Camila Souza,Produto H,Boleto Bancário,R$ 396.00,1,,
1806,9/24/2016,Diana Martins,Produto J,Cartão de Crédito,R$ 66.00,1,,
1807,9/25/2016,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,2,,
1808,9/26/2016,Diana Martins,Produto J,Cartão de Crédito,R$ 66.00,1,,
1809,9/26/2016,Renato Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
1810,9/27/2016,Felipe Melo,Produto I,Dinheiro,R$ 759.00,1,,
1811,9/27/2016,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
1812,9/28/2016,Anderson Gomes,Produto I,Cartão de Crédito,R$ 759.00,1,,
1813,9/29/2016,Felipe Melo,Produto H,Dinheiro,R$ 396.00,1,,
1814,9/29/2016,Diana Martins,Produto B,Boleto Bancário,R$ 577.50,1,,
1815,9/29/2016,Diana Martins,Produto G,Dinheiro,R$ 165.00,1,,
1816,9/29/2016,Anderson Gomes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1817,9/30/2016,Anderson Gomes,Produto D,Boleto Bancário,R$ 759.00,3,,
1818,9/30/2016,Camila Souza,Produto G,Dinheiro,R$ 165.00,1,,
1819,9/30/2016,Felipe Melo,Produto F,Boleto Bancário,R$ 478.50,1,,
1820,9/30/2016,Clara Nunes,Produto F,Boleto Bancário,R$ 478.50,1,,
1821,9/30/2016,Anderson Gomes,Produto B,Boleto Bancário,R$ 577.50,1,,
1822,9/30/2016,Diana Martins,Produto C,Cartão de Crédito,R$ 148.50,2,,
1823,9/30/2016,Felipe Melo,Produto E,Boleto Bancário,R$ 709.50,1,,
1824,10/1/2016,Anderson Gomes,Produto H,Cartão de Crédito,R$ 396.00,1,,
1825,10/2/2016,Camila Souza,Produto J,Dinheiro,R$ 66.00,3,,
1826,10/2/2016,Felipe Melo,Produto G,Boleto Bancário,R$ 165.00,1,,
1827,10/2/2016,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,3,,
1828,10/3/2016,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
1829,10/3/2016,Felipe Melo,Produto A,Cartão de Crédito,R$ 445.50,1,,
1830,10/4/2016,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
1831,10/4/2016,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
1832,10/4/2016,Felipe Melo,Produto E,Boleto Bancário,R$ 709.50,1,,
1833,10/4/2016,Diana Martins,Produto J,Cartão de Crédito,R$ 66.00,1,,
1834,10/4/2016,Diana Martins,Produto J,Cartão de Crédito,R$ 66.00,1,,
1835,10/4/2016,Camila Souza,Produto G,Boleto Bancário,R$ 165.00,2,,
1836,10/4/2016,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
1837,10/4/2016,Diana Martins,Produto H,Dinheiro,R$ 396.00,1,,
1838,10/4/2016,Anderson Gomes,Produto A,Dinheiro,R$ 445.50,2,,
1839,10/5/2016,Camila Souza,Produto C,Boleto Bancário,R$ 148.50,1,,
1840,10/5/2016,Clara Nunes,Produto J,Boleto Bancário,R$ 66.00,2,,
1841,10/6/2016,Anderson Gomes,Produto F,Dinheiro,R$ 478.50,1,,
1842,10/6/2016,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,3,,
1843,10/7/2016,Renato Souza,Produto C,Boleto Bancário,R$ 148.50,3,,
1844,10/7/2016,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,1,,
1845,10/7/2016,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
1846,10/7/2016,Clara Nunes,Produto G,Cartão de Crédito,R$ 165.00,1,,
1847,10/7/2016,Clara Nunes,Produto A,Boleto Bancário,R$ 445.50,3,,
1848,10/7/2016,Camila Souza,Produto A,Boleto Bancário,R$ 445.50,1,,
1849,10/7/2016,Felipe Melo,Produto A,Cartão de Crédito,R$ 445.50,1,,
1850,10/7/2016,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1851,10/8/2016,Diana Martins,Produto A,Boleto Bancário,R$ 445.50,1,,
1852,10/8/2016,Clara Nunes,Produto G,Boleto Bancário,R$ 165.00,1,,
1853,10/9/2016,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,2,,
1854,10/9/2016,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,1,,
1855,10/10/2016,Camila Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
1856,10/10/2016,Anderson Gomes,Produto D,Cartão de Crédito,R$ 759.00,2,,
1857,10/10/2016,Camila Souza,Produto C,Cartão de Crédito,R$ 148.50,1,,
1858,10/10/2016,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1859,10/10/2016,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
1860,10/10/2016,Clara Nunes,Produto B,Dinheiro,R$ 577.50,1,,
1861,10/10/2016,Diana Martins,Produto E,Boleto Bancário,R$ 709.50,1,,
1862,10/11/2016,Diana Martins,Produto H,Cartão de Crédito,R$ 396.00,1,,
1863,10/11/2016,Diana Martins,Produto I,Dinheiro,R$ 759.00,2,,
1864,10/11/2016,Renato Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
1865,10/11/2016,Clara Nunes,Produto F,Dinheiro,R$ 478.50,1,,
1866,10/11/2016,Diana Martins,Produto A,Cartão de Crédito,R$ 445.50,1,,
